,name,street,city,state,zipcode,phone,website,bbb_url,category,accredited,bbb_rating,accredited_date,years_in_business,one_year_complaints,three_year_complaints,saleability_score
10,"Sparrow Exteriors, LLC",36 Mitchell Farm Dr,Sharpsburg,GA,30277,(678) 729-7129,http://www.sparrowexteriors.com/,https://www.bbb.org/us/ga/sharpsburg/profile/roofing-contractors/sparrow-exteriors-llc-0443-27407490,Roofing Contractors,Accredited,A+,5/14/2014,12.0,0,0,1.0
11,"Eagle Watch Roofing, Inc.",772 Greison Trl Ste G,Newnan,GA,30263-1498,(770) 254-8999,https://www.eaglewatchroofing.com/,https://www.bbb.org/us/ga/newnan/profile/roofing-contractors/eagle-watch-roofing-inc-0443-27415315,Roofing Contractors,Accredited,A+,3/8/2013,12.0,0,0,1.0
12,Wages Goldstar Roofing & Gutters,1404 Brighton Pl,Loganville,GA,30052,(770) 554-4986,http://www.wagesgoldstarroofing.com/,https://www.bbb.org/us/ga/loganville/profile/roofing-contractors/wages-goldstar-roofing-gutters-0443-27142823,Roofing Contractors,Accredited,A+,7/10/2009,22.0,0,0,1.0
13,First Choice Homes of Georgia,PO Box 492067,Lawrenceville,GA,30049-0035,(404) 275-5860,http://www.firstchoiceroofsystems.com/,https://www.bbb.org/us/ga/lawrenceville/profile/roofing-contractors/first-choice-homes-of-georgia-0443-27599319,Roofing Contractors,Accredited,A+,4/28/2017,19.0,0,0,1.0
14,"RCB Renovations, Inc.",1876 Defoor Ave NW Ste 7,Atlanta,GA,30318-3000,(470) 355-1500,http://www.rcbroof.com/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/rcb-renovations-inc-0443-27589105,Roofing Contractors,Accredited,A+,4/17/2015,13.0,0,0,1.0
15,"Damage & Recovery Solutions, Inc.",1514 Old Atlanta Rd,Griffin,GA,30223,(770) 227-6233,https://www.damagerecoverysolutions.com/,https://www.bbb.org/us/ga/griffin/profile/roofing-contractors/damage-recovery-solutions-inc-0443-27372439,Roofing Contractors,Accredited,A+,1/21/2011,13.0,0,0,1.0
16,"True Quality Roofing, LLC",2828 Rosebud Rd,Loganville,GA,30052,(770) 554-1229,http://www.truequalityroofing.com/,https://www.bbb.org/us/ga/loganville/profile/roofing-contractors/true-quality-roofing-llc-0443-27504593,Roofing Contractors,Accredited,A+,7/4/2014,10.0,0,0,1.0
17,"Yoder's Roofing, LLC",2931 Loop Rd,Montezuma,GA,31063-7643,(478) 472-7256,http://www.yodersroofing.com/,https://www.bbb.org/us/ga/montezuma/profile/roofing-contractors/yoders-roofing-llc-0743-108082,Roofing Contractors,Accredited,A+,1/28/2016,41.0,0,0,1.0
18,S & S Roofing and Construction,336 Ga Highway 32 E,Leesburg,GA,31763-3524,(229) 439-9995,http://sandsroofingpros.com/,https://www.bbb.org/us/ga/leesburg/profile/roofing-contractors/s-s-roofing-and-construction-0743-91801483,Roofing Contractors,Accredited,A+,3/21/2018,14.0,0,0,1.0
19,"Gardner's Roof Repair Company, Inc.",1115 Applecross Dr,Roswell,GA,30075-1057,(770) 667-1521,https://www.gardnersroof.com/,https://www.bbb.org/us/ga/roswell/profile/roofing-contractors/gardners-roof-repair-company-inc-0443-6001469,Roofing Contractors,Accredited,A+,11/7/2008,31.0,0,0,1.0
20,"Five Star Roofing & Son, LLC",46 Willowick Ct,Lithonia,GA,30038-1720,(770) 987-7655,https://www.fivestarroofs.com/,https://www.bbb.org/us/ga/lithonia/profile/roofing-contractors/five-star-roofing-son-llc-0443-27289768,Roofing Contractors,Accredited,A+,12/18/2009,16.0,0,0,1.0
21,A.A. Construction,PO Box 1103,Byron,GA,31008-1103,(478) 213-2925,https://www.roofingofwarnerrobins.com/,https://www.bbb.org/us/ga/byron/profile/roofing-contractors/aa-construction-0743-42871,Roofing Contractors,Accredited,A+,2/9/2016,26.0,0,0,1.0
22,"The Tenth Roof, Inc.",410 Peachtree Pkwy Ste 4245,Cumming,GA,30041-7407,(678) 321-7663,https://www.thetenthroof.com/,https://www.bbb.org/us/ga/cumming/profile/roofing-contractors/the-tenth-roof-inc-0443-27469614,Roofing Contractors,Accredited,A+,4/21/2017,11.0,0,0,1.0
23,"Rapid Roofers, LLC",2858 Memorial Dr SE,Atlanta,GA,30317-3317,(770) 786-2056,http://www.rapidroofers.com/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/rapid-roofers-llc-0443-27598186,Roofing Contractors,Accredited,A+,8/21/2015,11.0,0,0,1.0
24,"Roof Authority, LLC",10800 Alpharetta Hwy STE 208-461,Roswell,GA,30076-1490,(770) 400-0998,http://www.roofwithauthority.com/,https://www.bbb.org/us/ga/roswell/profile/roofing-contractors/roof-authority-llc-0443-27598188,Roofing Contractors,Accredited,A+,8/28/2015,10.0,0,0,1.0
25,Chastain Roofing,140 Shamrock Industrial Blvd,Tyrone,GA,30290-2718,(770) 486-0820,https://www.chastainroofing.com/,https://www.bbb.org/us/ga/tyrone/profile/roofing-contractors/chastain-roofing-0443-1652,Roofing Contractors,Accredited,A+,5/31/2001,33.0,0,0,1.0
26,"The Roofer Direct, LLC",102 Tall Pines Dr,Jackson,GA,30233-4432,(770) 837-7931,http://www.therooferdirect.com/,https://www.bbb.org/us/ga/jackson/profile/roofing-contractors/the-roofer-direct-llc-0443-27272264,Roofing Contractors,Accredited,A+,6/10/2011,15.0,0,0,1.0
27,B & C Exteriors,101 Schurlock,Grandview,TX,76050,(888) 726-4322,http://bandcexteriors.com/,https://www.bbb.org/us/tx/grandview/profile/roofing-contractors/b-c-exteriors-0825-99060620,Roofing Contractors,Accredited,A+,8/3/2001,26.0,0,0,1.0
28,"HomeSmart Storm Solutions, LLC",524 Sterling Water Dr,Monroe,GA,30655-7704,(770) 554-8810,http://www.homesmartstormpros.com/,https://www.bbb.org/us/ga/monroe/profile/roofing-contractors/homesmart-storm-solutions-llc-0443-27256243,Roofing Contractors,Accredited,A+,3/6/2009,14.0,0,0,1.0
29,"Dependable Roofing Solution, LLC",95 Tabitha Rdg,Colbert,GA,30628,(706) 788-0033,http://www.dependableroofsol.com/,https://www.bbb.org/us/ga/colbert/profile/roofing-contractors/dependable-roofing-solution-llc-0443-27434909,Roofing Contractors,Accredited,A+,10/26/2012,12.0,0,0,1.0
30,"Element Pros, LLC",5579-B Chamblee Dunwoody Rd Ste 206,Atlanta,GA,30338-4128,(866) 657-8821,https://www.elementpros.com/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/element-pros-llc-0443-27210815,Roofing Contractors,Accredited,A+,6/27/2008,17.0,0,0,1.0
31,"Complete Remodeling Services, Inc.",4450 Goolsby Rd,Monticello,GA,31064-5177,(770) 560-8071,https://www.facebook.com/people/Complete-Remodeling-Services/100057400363157/?locale=sv_SE,https://www.bbb.org/us/ga/monticello/profile/roofing-contractors/complete-remodeling-services-inc-0443-27283891,Roofing Contractors,Accredited,A+,5/10/2012,26.0,0,0,1.0
32,"Lookup Roofing, LLC",112 Bond Lake Dr,Ellenwood,GA,30294-4535,(404) 552-5726,https://www.lookuproofing.com/,https://www.bbb.org/us/ga/ellenwood/profile/roofing-contractors/lookup-roofing-llc-0443-27503208,Roofing Contractors,Accredited,A+,12/12/2014,10.0,0,0,1.0
33,"Super Roofing, Inc.",3656 Mount Laurel Way,Snellville,GA,30039-6963,(404) 680-0753,http://www.superroofinc.com/,https://www.bbb.org/us/ga/snellville/profile/roofing-contractors/super-roofing-inc-0443-27271640,Roofing Contractors,Accredited,A+,2/7/2014,16.0,0,0,1.0
34,"Commercial Roofing, Inc.",3208 Old Buncombe Rd,Greenville,SC,29609-4153,(864) 551-2799,https://commercialroofinggreenville.com/,https://www.bbb.org/us/sc/greenville/profile/roofing-contractors/commercial-roofing-inc-0673-9000177,Roofing Contractors,Accredited,A+,3/8/2016,30.0,0,0,1.0
35,Joe's Roofing,215 Sammons Industrial Parkway,Eatonton,GA,31024,(706) 473-0026,http://www.joesroofing.net/,https://www.bbb.org/us/ga/eatonton/profile/roofing-contractors/joes-roofing-0743-9854,Roofing Contractors,Accredited,A+,3/31/2005,33.0,0,0,1.0
36,All America Seamless Gutters,94 Rock House Rd,Lawrenceville,GA,30045,(770) 480-1068,https://allamericaseamlessgutters.com/?fbclid=IwAR0DQ6I2xXMFcK5UmQSWchgIVxzhfKF5l-o9LmiRycrIGP1LtMLdAGkyTdM,https://www.bbb.org/us/ga/lawrenceville/profile/roofing-contractors/all-america-seamless-gutters-0443-27113838,Roofing Contractors,Accredited,A+,9/9/2016,23.0,0,0,1.0
37,Murph's Roofing & Repairs,750 Bluebird Dr SE,Conyers,GA,30094-2804,(770) 918-0904,https://murphsroofing.com/index.html,https://www.bbb.org/us/ga/conyers/profile/roofing-contractors/murphs-roofing-repairs-0443-27161501,Roofing Contractors,Accredited,A+,4/26/2013,23.0,0,0,1.0
38,"Superior Roofing Company of Georgia, Inc.",315 Nunnally Ridge Ct,Monroe,GA,30655-5702,(770) 279-2621,https://www.superiorroofs.com/,https://www.bbb.org/us/ga/monroe/profile/roofing-contractors/superior-roofing-company-of-georgia-inc-0443-4002036,Roofing Contractors,Accredited,A+,4/22/2002,32.0,0,0,1.0
39,Matts Exteriors,1826 GA Hwy 54,Fayetteville,GA,30214,(770) 251-0707,https://www.mattsexteriors.com/,https://www.bbb.org/us/ga/fayetteville/profile/roofing-contractors/matts-exteriors-0443-27207956,Roofing Contractors,Accredited,A+,5/9/2008,16.0,0,0,1.0
40,"MyTS Roofing, LLC",120 Fiddle Crk,Social Circle,GA,30025-5330,(770) 375-8470,https://www.mytsroofing.com/,https://www.bbb.org/us/ga/social-circle/profile/roofing-contractors/myts-roofing-llc-0443-27291913,Roofing Contractors,Accredited,A+,11/14/2014,12.0,0,0,1.0
41,"Best Built Roofing, Inc.",800 14th St,Phenix City,AL,36867-5049,(334) 298-5454,http://www.bestbuiltroofing.com/,https://www.bbb.org/us/al/phenix-city/profile/roofing-contractors/best-built-roofing-inc-0743-101712,Roofing Contractors,Accredited,A+,6/26/2007,52.0,0,0,1.0
42,Superior Roofing Company,31 Lakeside Dr,Phenix City,AL,36869-6119,(706) 322-9032,http://www.superiorroofingcompany.net/,https://www.bbb.org/us/al/phenix-city/profile/roofing-contractors/superior-roofing-company-0743-106930,Roofing Contractors,Accredited,A+,1/7/1983,40.0,0,0,1.0
43,"B & W Roofing & Gutters, LLC",7379 Fielder Rd,Jonesboro,GA,30236,(770) 527-4308,https://www.facebook.com/BWRoofingAndGutters/,https://www.bbb.org/us/ga/jonesboro/profile/roofing-contractors/b-w-roofing-gutters-llc-0443-27048212,Roofing Contractors,Accredited,A+,2/20/2009,46.0,0,0,1.0
44,"Joe Roberson & Son Roofing, Inc",1 Catawba St,Greenville,SC,29611-3642,(864) 246-0886,https://www.robersonroofing.net/,https://www.bbb.org/us/sc/greenville/profile/roofing-contractors/joe-roberson-son-roofing-inc-0673-8000349,Roofing Contractors,Accredited,A+,1/17/1992,37.0,0,0,1.0
45,"Tecta America CS, LLC",2214 S Lincoln St,Amarillo,TX,79109-2750,(806) 373-1732,https://www.tectaamerica.com/tecta-america-cs-amarillo/,https://www.bbb.org/us/tx/amarillo/profile/roofing-contractors/tecta-america-cs-llc-0815-78060008,Roofing Contractors,Accredited,A+,9/14/2004,80.0,0,0,1.0
46,"Alan Frank Roofing Co., Inc.",2131 Barnes Ferry Rd,Macon,GA,31216-6823,(478) 972-4319,http://www.alanfrankroofing.com/,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/alan-frank-roofing-co-inc-0743-17365,Roofing Contractors,Accredited,A+,10/19/2007,17.0,0,0,1.0
47,All American Exteriors,25 Tom Eason Dr,Hampton,GA,30228-2954,(770) 957-0504,https://www.myaareno.com/,https://www.bbb.org/us/ga/hampton/profile/roofing-contractors/all-american-exteriors-0443-20000012,Roofing Contractors,Accredited,A+,6/1/2006,23.0,0,0,1.0
48,Mid-State Roofing,221 James Rd,Gray,GA,31032-3647,(478) 986-1189,http://www.midstateroofingga.net/,https://www.bbb.org/us/ga/gray/profile/roofing-contractors/mid-state-roofing-0743-5000497,Roofing Contractors,Accredited,A+,6/23/1997,27.0,0,0,1.0
49,"Specialty Roofing & Coatings, Inc.","5014 B U Bowman Dr, Suite 400",Buford,GA,30518-9022,(678) 714-2300,http://www.src-roofing.com/,https://www.bbb.org/us/ga/buford/profile/roofing-contractors/specialty-roofing-coatings-inc-0443-4002710,Roofing Contractors,Accredited,A+,8/5/2005,22.0,0,0,1.0
50,B & F Roofing & Siding Company,650 Keith Dr,Greenville,SC,29607-2636,(864) 232-7623,https://www.bandfroofingco.com/,https://www.bbb.org/us/sc/greenville/profile/roofing-contractors/b-f-roofing-siding-company-0673-3000017,Roofing Contractors,Accredited,A+,12/1/1982,64.0,0,0,1.0
51,A-1 Roofing & Remodeling,270 Higgins Rd,Locust Grove,GA,30248,(404) 787-7001,http://www.a1roof-remodeling.com/,https://www.bbb.org/us/ga/locust-grove/profile/roofing-contractors/a-1-roofing-remodeling-0443-11002294,Roofing Contractors,Accredited,A+,8/26/2002,63.0,0,0,1.0
52,Hewatt Roofing,1246 Old Collins Rd,Hoschton,GA,30548-6379,(770) 297-3585,http://www.hewattroofing.com/,https://www.bbb.org/us/ga/hoschton/profile/roofing-contractors/hewatt-roofing-0443-13001220,Roofing Contractors,Accredited,A+,1/25/2000,50.0,0,0,1.0
53,"The Roof Depot, Inc.",11260 Old Roswell Rd,Alpharetta,GA,30009-4711,(770) 205-1321,http://www.roofdepot.com/,https://www.bbb.org/us/ga/alpharetta/profile/roofing-contractors/the-roof-depot-inc-0443-13002340,Roofing Contractors,Accredited,A+,7/9/2001,27.0,0,0,1.0
54,Butler's Home Improvements & Roofing,314 Bethune Downs Ct,Macon,GA,31211-7652,(478) 952-4804,https://www.jbutlerroofing.com/,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/butlers-home-improvements-roofing-0743-8222,Roofing Contractors,Accredited,A+,4/28/2011,33.0,0,0,1.0
55,Beemer KangaRoof,3208 Old Buncombe Rd Ste A,Greenville,SC,29609-4153,(864) 412-2573,https://www.beemerkangaroof.com/,https://www.bbb.org/us/sc/greenville/profile/roofing-contractors/beemer-kangaroof-0673-90010550,Roofing Contractors,Accredited,A+,3/15/2016,11.0,0,0,1.0
56,Cross Roofing Company,3650 Thaxton Rd SW,Atlanta,GA,30331-7973,(404) 349-3727,http://www.crossroofinghomerepairs.com/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/cross-roofing-company-0443-4002649,Roofing Contractors,Accredited,A+,8/29/2003,51.0,0,0,1.0
57,"All Roof Solutions, Inc.",3700 Kennesaw S Ind Dr NW,Kennesaw,GA,30144-6415,(678) 945-0030,https://www.allroofsolutions.com/,https://www.bbb.org/us/ga/kennesaw/profile/roofing-contractors/all-roof-solutions-inc-0443-27211791,Roofing Contractors,Accredited,A+,1/16/2009,17.0,0,0,1.0
58,Adamson Roofing Company,2129 Old Concord Rd SE,Smyrna,GA,30080,(678) 424-1919,https://www.adamsonroofingcompany.com/,https://www.bbb.org/us/ga/smyrna/profile/roofing-contractors/adamson-roofing-company-0443-11003891,Roofing Contractors,Accredited,A+,1/6/2006,20.0,0,0,1.0
59,"MGI Roofing, LLC",3731 Northcrest Rd STE 14,Atlanta,GA,30340-3415,(678) 771-0050,http://www.mgiroofing.com/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/mgi-roofing-llc-0443-27418483,Roofing Contractors,Accredited,A+,11/6/2015,12.0,0,0,1.0
60,"L. E. Schwartz & Son, Inc.",279 Reid St,Macon,GA,31206-1133,(478) 745-6563,http://www.leschwartz.com/,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/l-e-schwartz-son-inc-0743-2550,Roofing Contractors,Accredited,A+,2/1/2012,113.0,0,0,1.0
61,"RL Bishop & Associates, Inc.",34 Flint Hill Hwy,Shiloh,GA,31826-3400,(800) 868-3121,http://www.rlbishop.net/,https://www.bbb.org/us/ga/shiloh/profile/roofing-contractors/rl-bishop-associates-inc-0743-91805215,Roofing Contractors,Accredited,A+,5/28/2015,45.0,0,0,1.0
62,"Adams & Sons Roofing, Inc.",4515 Bamford Dr,Sugar Hill,GA,30518-6292,(770) 271-7075,https://www.adamsandsonsroofing.com/,https://www.bbb.org/us/ga/sugar-hill/profile/roofing-contractors/adams-sons-roofing-inc-0443-3308,Roofing Contractors,Accredited,A+,3/1/1998,28.0,0,0,1.0
63,Chris Moore Roofing,619 Henderson Rd,Macon,GA,31217-2357,(478) 256-4187,http://www.chrismooreroofing.com/,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/chris-moore-roofing-0743-3574,Roofing Contractors,Accredited,A+,6/12/1998,35.0,0,0,1.0
64,"Wright's Roofing & Contracting Service, LLC",4112 Old Wetumpka Hwy,Montgomery,AL,36110-2836,(334) 241-0019,http://wrightsroofingandcontracting.com/,https://www.bbb.org/us/al/montgomery/profile/roofing-contractors/wrights-roofing-contracting-service-llc-0463-22003529,Roofing Contractors,Accredited,A+,5/16/2013,20.0,0,0,1.0
65,Reliable Roofing,35 Technology Pkwy S Ste 333,Peachtree Corners,GA,30092-2996,(770) 457-0000,http://www.reliableroofing.biz/,https://www.bbb.org/us/ga/peachtree-corners/profile/roofing-contractors/reliable-roofing-0443-9000708,Roofing Contractors,Accredited,A+,11/19/2010,34.0,0,0,1.0
66,"Restore Contracting, Inc,",115 Mud Bridge Rd,Griffin,GA,30223,(317) 780-1410,http://www.restorecontractinginc.com/,https://www.bbb.org/us/ga/griffin/profile/roofing-contractors/restore-contracting-inc-0443-91827427?addressId=234102,Roofing Contractors,Accredited,A+,3/23/2007,18.0,0,0,1.0
67,"Platinum Pro Roofing & Construction, LLC",2552 Highway 81 E,McDonough,GA,30252-7085,(678) 759-1886,http://www.platinumproroofing.com/,https://www.bbb.org/us/ga/mcdonough/profile/roofing-contractors/platinum-pro-roofing-construction-llc-0443-27412606,Roofing Contractors,Accredited,A+,3/31/2017,12.0,0,0,1.0
68,Kenneth Bedsole Roofing Company,7090 W Main St,Dothan,AL,36305-6969,(334) 671-9225,https://facebook.com/Kenneth-Bedsole-Roofing-117081585018466,https://www.bbb.org/us/al/dothan/profile/roofing-contractors/kenneth-bedsole-roofing-company-0463-33000960,Roofing Contractors,Accredited,A+,9/19/2006,30.0,0,0,1.0
69,U-Name-It Home Improvement,310 Davis Dr,Centerville,GA,31028-1110,(478) 334-0829,http://www.unameitwedoit.com/,https://www.bbb.org/us/ga/centerville/profile/roofing-contractors/u-name-it-home-improvement-0743-29689,Roofing Contractors,Accredited,A+,5/2/2012,12.0,0,0,1.0
70,"DDM Roofing, LLC",6693 W Fayetteville Rd,Riverdale,GA,30296-2524,(404) 454-4314,https://www.ddmroofing.org/,https://www.bbb.org/us/ga/riverdale/profile/roofing-contractors/ddm-roofing-llc-0443-27305385,Roofing Contractors,Accredited,A+,1/16/2015,13.0,0,0,1.0
71,"Roofing Plus, Inc.",1525 University Dr,Auburn,GA,30011-3385,(770) 464-1030,http://www.roofingplusinc.com/,https://www.bbb.org/us/ga/auburn/profile/roofing-contractors/roofing-plus-inc-0443-27024048,Roofing Contractors,Accredited,A+,1/18/2008,31.0,0,0,1.0
72,Residential Concerns,3028 Poplar Rd,Sharpsburg,GA,30277-2576,(770) 284-8630,http://www.callusonthejob.com/,https://www.bbb.org/us/ga/sharpsburg/profile/roofing-contractors/residential-concerns-0443-9637,Roofing Contractors,Accredited,A+,7/1/1998,35.0,0,0,1.0
73,"Penn Roofing, Inc.",812 Madelyn Dr,Harlem,GA,30814-4146,(706) 421-0226,http://www.pennroof.com/,https://www.bbb.org/us/ga/harlem/profile/roofing-contractors/penn-roofing-inc-0743-28367,Roofing Contractors,Accredited,A+,2/8/2011,13.0,0,0,1.0
74,Top Coats Roofing,534 Satilla Rd,Ocilla,GA,31774-4144,(229) 468-7757,http://www.topcoatsroofing.com/,https://www.bbb.org/us/ga/ocilla/profile/roofing-contractors/top-coats-roofing-0743-91801639,Roofing Contractors,Accredited,A+,7/23/2009,23.0,0,0,1.0
75,"Christian Brothers Roofing & Contracting, LLC",260 E Crossville Rd,Roswell,GA,30075,(770) 999-0299,https://www.christianbrothersroofingatlanta.com/,https://www.bbb.org/us/ga/roswell/profile/roofing-contractors/christian-brothers-roofing-contracting-llc-0443-27370524,Roofing Contractors,Accredited,A+,11/30/2012,13.0,0,0,1.0
76,"Infinity Roofing Contractors, Inc.",3440 Blue Springs Rd NW Ste 202,Kennesaw,GA,30144-1035,(678) 903-3170,http://www.myinfinityroof.com/,https://www.bbb.org/us/ga/kennesaw/profile/roofing-contractors/infinity-roofing-contractors-inc-0443-27600157,Roofing Contractors,Accredited,A+,8/18/2017,10.0,0,0,1.0
77,"Lovelace Roofing, Siding & Window Company",3850 Washington Rd STE 4F,Martinez,GA,30907-5033,(706) 863-5399,http://www.lovelaceroofing.com/,https://www.bbb.org/us/ga/martinez/profile/roofing-contractors/lovelace-roofing-siding-window-company-0743-10579,Roofing Contractors,Accredited,A+,7/27/2006,36.0,0,0,1.0
78,Top Dog Roofing,2705 Mall of Georgia Blvd Apt 1112,Buford,GA,30519-8741,(470) 557-3232,http://www.topdogroofing.net/,https://www.bbb.org/us/ga/buford/profile/roofing-contractors/top-dog-roofing-0443-27753300,Roofing Contractors,Accredited,A+,9/29/2017,13.0,0,0,1.0
79,Done Right Home Improvements,3747 Chesapeake Way,Atlanta,GA,30344-6038,(678) 414-7943,http://donerighthomeimprovement.net/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/done-right-home-improvements-0443-3003560,Roofing Contractors,Accredited,A+,4/29/2011,22.0,0,0,1.0
80,ABM Services & Renovations Inc,2123 Highway 42 N,Jenkinsburg,GA,30234-2401,(770) 288-2368,http://www.abmservicesandrenovations.com/,https://www.bbb.org/us/ga/jenkinsburg/profile/roofing-contractors/abm-services-renovations-inc-0443-27308689,Roofing Contractors,Accredited,A+,4/8/2011,14.0,0,0,1.0
81,"Quality Works, LLC","2400 Herodian Way SE, Suite 220",Smyrna,GA,30080,(404) 426-5277,https://www.qualityworksllc.com/,https://www.bbb.org/us/ga/smyrna/profile/roofing-contractors/quality-works-llc-0443-27513857,Roofing Contractors,Accredited,A+,2/6/2015,9.0,0,0,0.99
82,Devereux Roofing,6714 Camp Valley Rd,Riverdale,GA,30296-1706,(404) 402-4622,http://www.devereuxroofing.com/,https://www.bbb.org/us/ga/riverdale/profile/roofing-contractors/devereux-roofing-0443-27591589,Roofing Contractors,Accredited,A+,10/6/2017,9.0,0,0,0.99
83,"All-V Roofing and Restoration, LLC",1550 Opelika Rd Ste 296,Auburn,AL,36830-7618,(334) 319-2759,http://www.allvroofing.com/,https://www.bbb.org/us/al/auburn/profile/roofing-contractors/all-v-roofing-and-restoration-llc-0743-91805094,Roofing Contractors,Accredited,A+,2/26/2015,9.0,0,0,0.99
84,"Bartow Roofing, LLC",4 S Tennessee St STE A,Cartersville,GA,30120-3357,(770) 334-2911,http://www.bartowroofingllc.com/,https://www.bbb.org/us/ga/cartersville/profile/roofing-contractors/bartow-roofing-llc-0443-27693568,Roofing Contractors,Accredited,A+,5/13/2019,10.0,0,0,0.98
85,"Lowe-Boykin Roof & Gutters, LLC",3039 Washington Rd,Atlanta,GA,30344-4529,(404) 507-6490,http://www.roofandguttersolutions.com/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/lowe-boykin-roof-gutters-llc-0443-18000719,Roofing Contractors,Accredited,A+,6/13/2019,18.0,0,0,0.98
86,Detailed Roofing & Construction,1285 Turner Rd SW,Lilburn,GA,30047-6728,(678) 254-0978,https://www.detailedroofer.com/,https://www.bbb.org/us/ga/lilburn/profile/roofing-contractors/detailed-roofing-construction-0443-27513629,Roofing Contractors,Accredited,A+,4/29/2016,8.0,0,0,0.98
87,Collins Maintenance and Repair Service,632 W Oglethorpe Blvd,Albany,GA,31701-2704,(229) 291-1618,https://www.facebook.com/CollinsE0200,https://www.bbb.org/us/ga/albany/profile/roofing-contractors/collins-maintenance-and-repair-service-0743-97114,Roofing Contractors,Accredited,A+,3/12/2019,33.0,0,0,0.98
88,Rocky the Roofer,PO Box 5485,Alpharetta,GA,30023-5485,(404) 666-0580,http://www.rockytheroofer.com/,https://www.bbb.org/us/ga/alpharetta/profile/roofing-contractors/rocky-the-roofer-0443-28097690,Roofing Contractors,Accredited,A+,4/19/2019,12.0,0,0,0.98
